№,Название ВУЗа,Статус,Город,Специальности (коды ФГОС),Гражданские аналоги (коды ОКСО),Сроки обучения,Факультеты,Места 2025,Места 2026,Сайт,Телефоны (приемная/ВУЗ),Email,Описание (10-15 предложений),История (10-15 предложений),Головной ВУЗ
1,Военный университет имени князя Александра Невского,Головной,Москва,37.05.02 Психология служебной деятельности; 40.05.01 Правовое обеспечение национальной безопасности; 45.05.01 Перевод и переводоведение; 53.05.07 Дирижирование военным духовым оркестром; 56.05.05 Военная журналистика,37.03.01 Психология; 40.03.01 Юриспруденция; 45.03.02 Лингвистика; 53.03.04 Дирижирование; 42.03.02 Журналистика,4-5 лет,"Юридический, психологический, филологический, финансово-экономический, музыкальный, журналистики",312,Данные не опубликованы,vumo.mil.ru,+7(495)684-95-32 / +7(495)699-08-16,pk@vumo.mil.ru,"Университет является ведущим гуманитарным учебным заведением Министерства обороны Российской Федерации. Организация готовит офицерские кадры для военно-политических органов всех видов и родов войск. Учебное заведение реализует программы по психологии, юриспруденции, лингвистике, экономике и военной журналистике. Курсанты изучают 46 иностранных языков на различных факультетах университета. Выпускники проходят службу в информационных, правовых и финансовых подразделениях Вооруженных Сил. Университет осуществляет подготовку иностранных военнослужащих из более чем 30 стран мира. Учебный процесс включает теоретическую подготовку и практические занятия на современной базе. Преподавательский состав состоит из квалифицированных офицеров и гражданских специалистов. Материально-техническая база включает специализированные аудитории, лаборатории и спортивные сооружения. Университет ведет активную научную деятельность в области военной гуманитаристики. Выпускники занимают руководящие должности в военных и государственных структурах. Организация поддерживает международные связи с военными учебными заведениями зарубежных стран.","Университет ведет свою историю с 1919 года, когда был создан Учительский институт Красной Армии. За более чем столетнюю историю учреждение неоднократно реорганизовывалось и меняло наименование. В состав университета вошли Военно-политическая академия имени В.И. Ленина и Военный институт иностранных языков. Также правопреемником стал Военно-юридический институт и Ярославское высшее военное финансовое училище. В 2019 году университету присвоено имя князя Александра Невского. За годы существования подготовлено более 300 Героев Советского Союза и 21 Герой России. Более 700 выпускников получили генеральские звания в различные периоды истории. Университет награжден орденом Жукова в 2019 году за заслуги в подготовке кадров. День образования учреждения отмечается 5 ноября согласно историческим документам. На Боевом знамени размещены семь отечественных и десять иностранных орденов. В новейшей истории университет стал межвидовым образовательным центром Вооруженных Сил. Традиции учреждения сохраняются и развиваются в современных условиях.",-
2,Военно-морская академия имени Адмирала Флота Советского Союза Н.Г. Кузнецова,Головной,Санкт-Петербург,"26.05.03 Строительство, ремонт и поисково-спасательное обеспечение надводных кораблей и подводных лодок; 26.05.04 Применение и эксплуатация технических систем надводных кораблей и подводных лодок; 26.05.06 Эксплуатация судовых энергетических установок; 11.05.01 Радиоэлектронные системы и комплексы; 09.05.01 Применение и эксплуатация автоматизированных систем специального назначения","26.03.02 Кораблестроение, океанотехника и системотехника; 26.03.01 Навигация и управление водным транспортом; 13.03.02 Электроэнергетика и электротехника; 11.03.01 Радиоэлектронные системы и комплексы; 09.03.01 Информатика и вычислительная техника",5 лет,"Военно-морской, военно-морской политехнический, среднего профессионального образования",500,Данные не опубликованы,vma.mil.ru,+7(812)230-00-00 / +7(812)230-00-00,post@vma.mil.ru,"Академия является флагманом военно-морского образования в Российской Федерации. Учебное заведение готовит офицерские кадры для Военно-Морского Флота всех флотилий. Программы обучения включают кораблестроение, навигацию и эксплуатацию морской техники. Курсанты получают знания в области радиоэлектронных систем и автоматизированных комплексов. Выпускники проходят службу на надводных кораблях и подводных лодках ВМФ России. Академия сотрудничает с гражданскими морскими учебными заведениями и судостроительными организациями. Учебный процесс проводится на современной материально-технической базе с использованием передовых методик. Преподавательский состав включает опытных офицеров флота и гражданских специалистов. Организация ведет научную деятельность в области военно-морской науки и техники. Выпускники занимают командные должности на кораблях и в береговых подразделениях флота. Академия осуществляет подготовку иностранных военнослужащих для военно-морских сил зарубежных стран. Учебное заведение поддерживает традиции российского военно-морского образования.","Академия ведет свою историю с 1701 года, когда Петром I была основана Артиллерийская школа. За более чем трехсотлетнюю историю учреждение стало центром подготовки офицеров Российского флота. В советский период академия значительно расширила спектр подготовки специалистов для ВМФ. После распада СССР академия продолжает оставаться флагманом военно-морского образования России. За историю подготовлены десятки тысяч офицеров ВМФ, включая знаменитых флотоводцев. Академия неоднократно переходила от одного предназначения к другому в зависимости от потребностей флота. В 1990-е годы учреждение прошло через реорганизацию с сохранением основных функций. Современное наименование академия получила в честь Адмирала Флота Н.Г. Кузнецова. Традиции петровской школы морского образования сохраняются в учебном процессе. Академия награждена орденами Ленина, Октябрьской Революции и Ушакова. В составе академии действуют два основных военных института разного профиля. Историческое здание академии является памятником архитектуры Санкт-Петербурга.",-
3,Военно-воздушная академия имени профессора Н.Е. Жуковского и Ю.А. Гагарина,Головной,Воронеж,"25.05.04 Летная эксплуатация и применение авиационных комплексов; 25.05.05 Эксплуатация бортовых систем летательных аппаратов; 24.05.01 Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов; 11.05.01 Радиоэлектронные системы и комплексы; 09.05.01 Применение и эксплуатация автоматизированных систем специального назначения",25.03.03 Эксплуатация авиационных и ракетно-космических систем; 25.03.05 Аэронавигация; 24.03.03 Авиастроение; 11.03.01 Радиоэлектронные системы и комплексы; 09.03.01 Информатика и вычислительная техника,5 лет,"Летный, инженерный, штурманский, авиационных систем, дополнительного образования",650,Данные не опубликованы,vva.mil.ru,+7(473)247-00-00 / +7(473)247-00-01,vva@mil.ru,"Академия является ведущим учебным заведением Воздушно-космических сил Российской Федерации. Организация готовит летный состав, штурманов и инженеров для военной авиации. Программы обучения включают летную эксплуатацию, навигацию и техническое обслуживание авиационных комплексов. Курсанты получают практические навыки полетов на современных боевых летательных аппаратах. Выпускники проходят службу в авиационных частях ВКС всех военных округов России. Учебный процесс проводится на авиационных полигонах и тренажерных комплексах. Преподавательский состав состоит из опытных летчиков-инструкторов и инженеров-специалистов. Академия ведет научную деятельность в области авиационной техники и технологий. Организация сотрудничает с авиационными предприятиями и конструкторскими бюро России. Выпускники занимают командные должности в авиационных полках и эскадрильях. Академия осуществляет подготовку иностранных военнослужащих для военно-воздушных сил зарубежных стран. Учебное заведение поддерживает традиции российской военной авиационной школы.",Академия образована в 2008 году путем объединения Военно-воздушной академии имени Ю.А. Гагарина и Военной инженерной радиотехнической академии. Предшественники академии ведут историю с 1920-х годов советского периода. В 2011 году академии присвоено двойное имя в честь Н.Е. Жуковского и Ю.А. Гагарина. За годы существования подготовлены тысячи летчиков и авиационных специалистов. В годы Великой Отечественной войны выпускники защищали небо Советского Союза. В послевоенный период академия стала центром подготовки кадров для реактивной авиации. В 1990-е годы учреждение прошло через реорганизацию с сохранением основных функций. Современная академия расположена в Воронеже с 2011 года после переезда из Москвы. Традиции российской авиационной школы сохраняются в учебном процессе академии. Академия награждена орденами за заслуги в подготовке авиационных кадров. В составе академии действуют несколько факультетов разного профиля подготовки. Исторические традиции академии продолжаются в современных условиях.,-
4,Военная академия Ракетных войск стратегического назначения имени Петра Великого,Головной,Балашиха,"24.05.01 Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов; 24.05.06 Системы управления летательными аппаратами; 14.05.04 Электроника и автоматика физических установок; 09.05.01 Применение и эксплуатация автоматизированных систем специального назначения; 27.05.01 Ядерные физика и технологии",24.03.01 Прикладная информатика; 24.03.02 Авиастроение; 11.03.04 Электроника и наноэлектроника; 09.03.01 Информатика и вычислительная техника; 27.03.04 Управление в технических системах,5 лет,"Стартовых и технических комплексов ракет, систем управления ракет, ядерного вооружения, автоматизированных систем управления",700,Данные не опубликованы,rvzn.mil.ru,+7(496)777-00-00 / +7(496)777-00-01,info@rvzn.ru,"Академия является ведущим учебным заведением Ракетных войск стратегического назначения Российской Федерации. Организация готовит офицерские кадры для эксплуатации ракетных комплексов и систем управления. Программы обучения включают проектирование, производство и эксплуатацию ракетно-космических комплексов. Курсанты получают знания в области ядерных технологий и автоматизированных систем управления. Выпускники проходят службу в ракетных соединениях РВСН всех ракетных армий России. Учебный процесс проводится на специализированных полигонах и тренажерных комплексах. Преподавательский состав состоит из опытных офицеров РВСН и гражданских специалистов. Академия ведет научную деятельность в области ракетного вооружения и стратегических систем. Организация сотрудничает с ракетно-космическими предприятиями и конструкторскими бюро России. Выпускники занимают командные должности в ракетных полках и дивизиях РВСН. Академия осуществляет подготовку иностранных военнослужащих для ракетных войск зарубежных стран. Учебное заведение поддерживает традиции российской ракетной школы.","Академия ведет свою историю с 1820 года, когда было основано Артиллерийское училище офицерского класса в Санкт-Петербурге. В 1845 году учреждение получило наименование Михайловского артиллерийского училища. В 1945 году в академии создан факультет реактивного вооружения для подготовки инженеров-ракетчиков. В 1953 году произошло разделение на две академии, из которых выросла современная академия РВСН. В 1990-е годы академия получила современное наименование с именем Петра Великого. За почти двести лет подготовлено более 25 тысяч офицеров для ракетных войск. Более 50 выпускников стали генералами в различные периоды истории страны. Более 30 выпускников стали докторами наук в области ракетной техники. В 2015 году академия переехала из Москвы в Балашиху Московской области. Традиции российской артиллерийской и ракетной школы сохраняются в учебном процессе. Академия является крупнейшим научно-исследовательским центром в области ракетного вооружения. Исторические традиции академии продолжаются в современных условиях службы РВСН.",-
5,Общевойсковая академия Вооруженных Сил Российской Федерации,Головной,Москва,56.04.02 Управление воинскими частями и соединениями; 56.05.01 Военная разведка; 38.05.01 Экономическая безопасность; 11.05.04 Инфокоммуникационные технологии и системы специальной связи; 23.05.02 Боевые машины и машины специального назначения,38.04.02 Менеджмент; 38.04.04 Государственное и муниципальное управление; 27.04.04 Управление в технических системах; 11.03.02 Инфокоммуникационные технологии и системы связи; 23.03.02 Наземные транспортно-технологические средства,2-5 лет,"Общевойсковой, разведывательный, инженерных войск, управления, дополнительного образования",800,Данные не опубликованы,ova.mil.ru,+7(499)766-57-58 / +7(499)766-57-59,ovavcrf@mil.ru,"Академия является ведущим учебным заведением Сухопутных войск Российской Федерации. Организация готовит офицерские кадры оперативно-стратегического уровня управления войсками. Программы обучения включают управление воинскими частями, соединениями и объединениями. Курсанты получают знания в области военной разведки, экономики и информационных технологий. Выпускники проходят службу в общевойсковых соединениях всех военных округов России. Учебный процесс проводится на полигонах и в учебных центрах академии. Преподавательский состав состоит из опытных генералов и офицеров с боевым опытом. Академия ведет научную деятельность в области военной науки и тактики. Организация сотрудничает с военными учебными заведениями видов и родов войск России. Выпускники занимают командные должности в дивизиях, бригадах и полках Сухопутных войск. Академия осуществляет подготовку иностранных военнослужащих для сухопутных войск зарубежных стран. Учебное заведение поддерживает традиции российской общевойсковой школы.","Академия создана в 1998 году путем объединения Военной академии имени М.В. Фрунзе, Военной академии бронетанковых войск имени Р.Я. Малиновского и Высших офицерских курсов «Выстрел». В 2006 году в состав академии включен Военный институт инженерных войск. В 2008 году на базе академии создан Военный учебно-научный центр Сухопутных войск. Предшественники академии ведут историю с XIX века российского военного образования. За годы существования подготовлены десятки тысяч офицеров для Сухопутных войск России. Выпускники академии участвовали во всех крупных военных конфликтах XX и XXI веков. В 1990-е годы академия прошла через реорганизацию с сохранением основных функций. Современная академия продолжает развивать традиции российских военных академий. Академия награждена орденом Жукова за заслуги в подготовке офицерских кадров. В составе академии действуют несколько филиалов в различных городах России. Исторические традиции академии продолжаются в современных условиях службы.",-
6,Военная академия войсковой противовоздушной обороны Вооруженных Сил Российской Федерации,Головной,Смоленск,"24.05.07 Проектирование и эксплуатация газонефтепроводов, баз и хранилищ; 11.05.01 Радиоэлектронные системы и комплексы; 11.05.02 Инфокоммуникационные технологии и системы специальной связи; 09.05.01 Применение и эксплуатация автоматизированных систем специального назначения; 27.05.03 Ядерные физика и технологии",24.03.01 Прикладная информатика; 11.03.01 Радиоэлектронные системы и комплексы; 11.03.02 Инфокоммуникационные технологии и системы связи; 09.03.01 Информатика и вычислительная техника; 27.03.04 Управление в технических системах,5 лет,"Командный, инженерный, радиотехнический, систем управления, дополнительного образования",500,Данные не опубликованы,vapvo.mil.ru,+7(4812)38-00-00 / +7(4812)38-00-01,vapvo@mil.ru,"Академия является ведущим учебным заведением войсковой противовоздушной обороны Российской Федерации. Организация готовит офицерские кадры для эксплуатации зенитных ракетных комплексов и систем ПВО. Программы обучения включают применение подразделений ПВО, радиотехническую разведку и управление системами. Курсанты получают знания в области радиоэлектронных систем и автоматизированных комплексов ПВО. Выпускники проходят службу в подразделениях войсковой ПВО всех военных округов России. Учебный процесс проводится на полигонах и тренажерных комплексах академии. Преподавательский состав состоит из опытных офицеров ПВО и гражданских специалистов. Академия ведет научную деятельность в области противовоздушной обороны и радиотехники. Организация сотрудничает с предприятиями оборонно-промышленного комплекса России. Выпускники занимают командные должности в зенитных ракетных полках и дивизионах. Академия осуществляет подготовку иностранных военнослужащих для войск ПВО зарубежных стран. Учебное заведение поддерживает традиции российской школы войсковой ПВО.",Академия основана в 1958 году как учебное заведение для подготовки специалистов войсковой ПВО. В советский период академия готовила кадры для зенитных ракетных войск Сухопутных войск. В 1990-е годы академия прошла через реорганизацию с сохранением основных функций. Современное наименование академия получила в postсоветский период. За годы существования подготовлены тысячи офицеров для войск ПВО России. Выпускники академии участвовали в боевых действиях в различных регионах мира. В 2000-е годы академия модернизировала учебную базу и программы подготовки. Современная академия расположена в Смоленске с момента основания. Традиции российской школы ПВО сохраняются в учебном процессе академии. Академия награждена за заслуги в подготовке кадров для войск ПВО. В составе академии действуют пять факультетов разного профиля подготовки. Исторические традиции академии продолжаются в современных условиях службы.,-
7,Военная академия связи имени Маршала Советского Союза С.М. Буденного,Головной,Санкт-Петербург,11.05.01 Радиоэлектронные системы и комплексы; 11.05.02 Инфокоммуникационные технологии и системы специальной связи; 09.05.01 Применение и эксплуатация автоматизированных систем специального назначения; 11.05.04 Инфокоммуникационные технологии и системы специальной связи; 27.05.01 Ядерные физика и технологии,11.03.01 Радиоэлектронные системы и комплексы; 11.03.02 Инфокоммуникационные технологии и системы связи; 09.03.01 Информатика и вычислительная техника; 27.03.04 Управление в технических системах; 11.03.03 Конструирование и технология электронных средств,5 лет,"Радиотехнический, инженерный, информационных систем, подготовки иностранных военнослужащих, дополнительного образования",600,Данные не опубликованы,vas.mil.ru,+7(812)247-93-25 / +7(812)247-98-35,vas@mil.ru,"Академия является ведущим учебным заведением военной связи Российской Федерации. Организация готовит офицерские кадры для всех родов и видов войск по направлениям связи. Программы обучения включают радиоэлектронные системы, инфокоммуникационные технологии и специальные системы мониторинга. Курсанты получают знания в области современных систем связи и телекоммуникаций. Выпускники проходят службу в подразделениях связи всех военных округов России. Учебный процесс проводится в лабораториях современных систем связи и телекоммуникаций. Преподавательский состав состоит из опытных офицеров связи и гражданских специалистов. Академия ведет научную деятельность в области военной связи и информационных технологий. Организация осуществляет подготовку специалистов для силовых ведомств и вооруженных сил 35 государств мира. Выпускники занимают командные должности в узлах связи и центрах управления. Академия поддерживает международные связи с военными учебными заведениями зарубежных стран. Учебное заведение сохраняет традиции российской школы военной связи.",Академия основана в 1919 году как учебное заведение для подготовки специалистов связи Красной Армии. За более чем столетнюю историю подготовлены десятки тысяч офицеров связи для различных родов войск. Академия неоднократно меняла наименование в зависимости от потребностей вооруженных сил. В советский период академия стала центром развития военной связи в СССР. После распада СССР академия продолжает готовить специалистов высочайшего уровня квалификации. В 1990-е годы академия прошла через реорганизацию с сохранением основных функций. Современное наименование академия получила в честь Маршала Советского Союза С.М. Буденного. Академия награждена орденами Жукова и Ленина за заслуги в подготовке кадров связи. За историю академия подготовила специалистов для вооруженных сил 35 государств мира. Традиции российской школы военной связи сохраняются в учебном процессе академии. В составе академии действуют несколько факультетов и курсов разного профиля. Исторические традиции академии продолжаются в современных условиях службы.,-
8,Михайловская военная артиллерийская академия,Головной,Санкт-Петербург,27.05.01 Ядерные физика и технологии; 27.05.03 Ядерные теплоэнергетические установки; 23.05.02 Боевые машины и машины специального назначения; 11.05.01 Радиоэлектронные системы и комплексы; 09.05.01 Применение и эксплуатация автоматизированных систем специального назначения,27.03.05 Инноватика; 23.03.02 Наземные транспортно-технологические средства; 11.03.01 Радиоэлектронные системы и комплексы; 09.03.01 Информатика и вычислительная техника; 27.03.04 Управление в технических системах,5 лет,"Артиллерийской разведки и АСУ, ракетный и РСЗО, специальный, переподготовки и повышения квалификации, заочного обучения",800,Данные не опубликованы,mvaa.mil.ru,+7(812)542-90-37 / +7(812)542-90-38,mvaa@mil.ru,"Академия является ведущим учебным заведением артиллерии Сухопутных войск и ВДВ Российской Федерации. Организация готовит офицерские кадры для командования артиллерийскими подразделениями всех уровней. Программы обучения включают применение подразделений артиллерии, артиллерийскую разведку и автоматизированные системы управления. Курсанты получают знания в области ракетных войск и реактивных систем залпового огня. Выпускники проходят службу в артиллерийских частях всех военных округов России. Учебный процесс проводится в специализированных классах и на полигонах для учебно-боевой подготовки. Преподавательский состав состоит из опытных офицеров артиллерии и гражданских специалистов. Академия ведет научную деятельность в области артиллерийского вооружения и тактики. Организация имеет современную материально-техническую базу с более чем 80 специализированными классами. Выпускники занимают командные должности в артиллерийских полках и дивизионах. Академия осуществляет подготовку иностранных военнослужащих для артиллерийских войск зарубежных стран. Учебное заведение сохраняет традиции российской артиллерийской школы.","Академия ведет свою историю с 1698 года, когда Петром I была основана первая Инженерная школа. В 1701 году школа преобразована в Артиллерийскую школу для подготовки офицеров артиллерии. В 1845 году учреждение получило наименование Михайловского артиллерийского училища. В 1855 году создана Михайловская артиллерийская академия для подготовки офицеров высшего звена. В 2004 году Военный артиллерийский университет преобразован в Михайловскую военную артиллерийскую академию. За более чем трехсотлетнюю историю подготовлены десятки тысяч офицеров артиллерии. Выпускники академии служили во всех крупных военных конфликтах российской истории. В советский период академия готовила командиров артиллерийских подразделений всех уровней. После распада СССР академия продолжает оставаться ведущим учебным заведением артиллерии России. Традиции петровской школы артиллерии сохраняются в учебном процессе академии. Академия награждена за заслуги в подготовке кадров артиллерии. Исторические традиции академии продолжаются в современных условиях службы.",-
9,Военно-космическая академия имени А.Ф. Можайского,Головной,Санкт-Петербург,"24.05.01 Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов; 27.03.04 Управление в технических системах; 21.05.03 Проектирование и эксплуатация газонефтепроводов, баз и хранилищ; 09.03.01 Информатика и вычислительная техника; 11.05.01 Радиоэлектронные системы и комплексы",24.03.01 Прикладная информатика; 27.03.04 Управление в технических системах; 21.03.01 Нефтегазовое дело; 09.03.01 Информатика и вычислительная техника; 11.03.01 Радиоэлектронные системы и комплексы,"5-5,5 лет","Космических систем, управления, информационно-измерительных систем, специального приборостроения, среднего профессионального образования",600,Данные не опубликованы,vka.mil.ru,+7(812)347-96-46 / +7(812)347-97-70,vka@mil.ru,"Академия является системообразующим политехническим вузом Министерства обороны Российской Федерации. Организация готовит специалистов для Воздушно-космических сил и других видов Вооруженных Сил. Программы обучения включают космические технологии, системы управления и инфотелекоммуникационные технологии. Курсанты получают знания в области сбора и обработки специальной информации. Выпускники проходят службу в частях и подразделениях Космических войск России. Учебный процесс проводится в лабораториях и на полигонах академии. Преподавательский состав состоит из опытных офицеров ВКС и гражданских специалистов. Академия ведет научную деятельность в области военно-космической деятельности и технологий. Организация является ведущим учебным, научным и методическим центром в области космических технологий. Выпускники занимают командные должности в космических частях и центрах управления. Академия осуществляет подготовку иностранных военнослужащих для космических войск зарубежных стран. Учебное заведение сохраняет традиции российской космической школы.","Академия ведет свою историю с 16 января 1712 года, когда Петром I подписан указ о создании первой Инженерной школы. За более чем трехсотлетнюю историю академия постоянно развивалась и адаптировалась к потребностям времени. В советский период академия стала ведущим центром подготовки инженеров для авиации и космических технологий. После распада СССР и создания космических войск академия стала системообразующим политехническим вузом МО РФ. За историю подготовлены десятки тысяч инженеров для космической отрасли России. Выпускники академии участвовали в создании и запуске первых советских спутников и космических кораблей. В 1990-е годы академия прошла через реорганизацию с сохранением основных функций. Современное наименование академия получила в честь А.Ф. Можайского, пионера авиации. Традиции петровской школы инженерного образования сохраняются в учебном процессе академии. Академия награждена за заслуги в подготовке кадров для космической отрасли. В составе академии действуют 12 факультетов и военный институт разного профиля. Исторические традиции академии продолжаются в современных условиях службы.",-
